"#";"MoSCoW";"Omschrijving";"Herleidbaar naar"
"T1";"M";"De besturing van de robot-car wordt gerealiseerd met een ATmega328(p)-microcontroller.";"F1, F2, F3"
"T1.1";"M";"In periode 1 wordt het tussenproduct via rapid prototyping gerealiseerd met de Arduino IDE op dezelfde ATmega328(p); in periode 2 wordt de microcontroller aangestuurd door rechtstreeks de registers te bewerken.";"F1, F2, F3"
"T2";"M";"De software voor de microcontroller wordt geschreven in de programmeertaal C.";"F1, F2, F3"
"T3";"M";"De C-code voldoet aan de programmeerrichtlijnen zoals aangeleerd in de opleiding (C-style programming guidelines v3.1).";"F1, F2, F3"
"T4";"M";"De dc-motoren van de robot-car worden aangedreven via een H-brug, zodat beide draairichtingen per motor mogelijk zijn.";"F1.1, F1.2"
"T4.1";"M";"Voor het regelen van de motorsnelheid wordt gebruikgemaakt van de PWM van de microcontroller; er wordt geen aanvullende hardware voor snelheidsregeling toegepast.";"F1.3"
"T4.2";"M";"Voor de H-brug wordt gebruikgemaakt van een L298N dual H-bridge driverboard.";"F1.1, F1.2"
"T4.3";"M";"De robot-car wordt aangedreven door de dc-motoren van het door de opdrachtgever geleverde chassis.";"F1"
"T5";"M";"Voor testdoeleinden kan de robot-car bestuurd worden via de seriele interface, de USART van de ATmega328(p).";"F1, F2.5"
"T5.1";"M";"Via de USART kan de robot-car vooruit en achteruit rijden.";"F1.1"
"T5.2";"M";"Via de USART kan de robot-car links- en rechtsom draaien.";"F1.2"
"T5.3";"M";"Via de USART kan de snelheidsstand van de robot-car worden ingesteld.";"F1.3"
"T5.4";"M";"Via de USART kan de autonome mode worden gestart en gestopt.";"F2.5"
"T6";"M";"Voor de voeding van de robot-car wordt gebruikgemaakt van batterijen.";"F1, F2, F3"
"T6.1";"M";"De schakeling is beveiligd tegen het verkeerd om aansluiten van de voeding.";"-"
"T6.2";"M";"De batterijen zijn beveiligd tegen kortsluiting door een beveiliging die zo dicht mogelijk bij de batterij is geplaatst.";"-"
"T6.3";"M";"Een LED geeft aan dat de robot-car wordt gevoed; deze LED brandt continu zolang de robot-car is ingeschakeld.";"F1, F2, F3"
"T6.4";"M";"De voedingsspanning van de microcontroller blijft binnen het door de fabrikant toegestane bereik, ook wanneer alle motoren gelijktijdig maximaal worden belast.";"F1, F2, F3"
"T6.5";"C";"De batterijspanning is voor de microcontroller meetbaar, zodat het batterijniveau kan worden weergegeven.";"F5.4"
"T7";"M";"De achterzijde van de robot-car is voorzien van een reflector, zodat deze robot-car op zijn beurt door een andere robot-car gevolgd kan worden.";"F3.2"
"T8";"M";"De robot-car meet de vrije ruimte recht vooruit met een afstandssensor.";"F2.1 t/m F2.4, F3.2"
"T8.1";"M";"De afstandssensor heeft een meetbereik van ten minste 10 tot 50 cm.";"F2.2, F3.2"
"T8.2";"M";"De afstandssensor levert ten minste 5 metingen per seconde.";"F2.2"
"T9";"M";"De robot-car detecteert de te volgen lijn met een lijnsensor aan de onderzijde van het chassis.";"F3.1"
"T9.1";"M";"De lijnsensor detecteert zwart tape van 1 tot 2 cm breed op het linoleum van de gang op de begane grond van gebouw R29.";"F3.1"
"T9.2";"M";"De lijnsensor kan onderscheiden of de lijn zich links van, onder, of rechts van het midden van de robot-car bevindt, zodat de afwijking kan worden bijgestuurd.";"F3.1"
"T10";"M";"De robot-car is voorzien van bediening op de auto zelf, bestaande uit een display en bedieningstoetsen.";"F5, F6"
"T10.1";"M";"Het display geeft vier regels gelijktijdig weer.";"F5.1 t/m F5.4"
"T10.2";"S";"De bediening bestaat uit drie toetsen: omhoog, omlaag en OK.";"F6"
"T11";"C";"Aan de achterzijde van de robot-car zitten twee LED's, links en rechts, die de draairichting aangeven.";"F1.4"
